"";"Small_Flux";"save_glob_eff"
"236";236;0,0521017745545772
"237";237;0,0521256909720689
"238";238;0,0519466368637456
"239";239;0,0514208263908342
"240";240;0,0512790068465254
"241";241;0,0512764137742592
"242";242;0,0510586804231139
"243";243;0,0511631833887311
"244";244;0,0508738246873865
"245";245;0,0471966609726512
"246";246;0,0470227260820076
"247";247;0,0466181423773686
"248";248;0,0467083092872328
"249";249;0,046437737565181
"250";250;0,0461708109622591
"251";251;0,0464002394052932
"252";252;0,0463539710676462
"253";253;0,0461672322076973
"254";254;0,0462231567386033
"255";255;0,0455881582758144
"256";256;0,0453399496000921
"257";257;0,0452821990805739
"258";258;0,0454028674001846
"259";259;0,0449916007738985
"260";260;0,0449855430722115
"261";261;0,0447435760645784
"262";262;0,044568930401392
"263";263;0,0447147421004063
"264";264;0,0447718160905295
"265";265;0,0448219209574652
"266";266;0,0433302690112556
"267";267;0,0431822391623578
"268";268;0,0431054698707453
"269";269;0,0428801799458473
"270";270;0,0429569640912016
"271";271;0,042391486117583
"272";272;0,0423204367679942
"273";273;0,0422216577431486
"274";274;0,0415615218956222
"275";275;0,0414721301681913
"276";276;0,0414814172139174
"277";277;0,0411619284532422
"278";278;0,0409500421047377
"279";279;0,0409670085848584
"280";280;0,0410202867033211
"281";281;0,0409335273958694
"282";282;0,0408908036788357
"283";283;0,0409004985050887
"284";284;0,0313585324454461
"285";285;0,0311181204670559
"286";286;0,0307291445500012
"287";287;0,0306694710324887
"288";288;0,0305349440186524
"289";289;0,0305009550951638
"290";290;0,0305469340874504
"291";291;0,0305854973867397
"292";292;0,0306175165177839
"293";293;0,0304475421702651
"294";294;0,0304563977861117
"295";295;0,0301319503461918
"296";296;0,0302247674515883
"297";297;0,0297970015682548
"298";298;0,029789803293337
"299";299;0,0295500954038172
"300";300;0,0296208566672357
"301";301;0,0290888211406712
"302";302;0,0292417870408202
"303";303;0,0291946470620198
"304";304;0,0291244084913224
"305";305;0,0292674421727668
"306";306;0,0286660059268672
"307";307;0,0287936232023122
"308";308;0,0285372548908007
"309";309;0,028484146119403
"310";310;0,0284563143937505
"311";311;0,0284807392706089
"312";312;0,0286113080371935
"313";313;0,0285401272900338
"314";314;0,0277667803043416
"315";315;0,0278687039852566
"316";316;0,0277741718332069
"317";317;0,0266943607419536
"318";318;0,0264209520076258
"319";319;0,0254777938756145
"320";320;0,0253890420667008
"321";321;0,0253633369065971
"322";322;0,0254957694913493
"323";323;0,0254890036535181
"324";324;0,0255023805543697
"325";325;0,0254656272141488
"326";326;0,0253100696860644
"327";327;0,0252411174027742
"328";328;0,0252551259266121
"329";329;0,0250608832459779
"330";330;0,0250785675663573
"331";331;0,0250802055102756
"332";332;0,0253531043812284
"333";333;0,0254235825531514
"334";334;0,0255171029767392
"335";335;0,0255153863938026
"336";336;0,0252200746682124
"337";337;0,0253068973274008
"338";338;0,0252946497862112
"339";339;0,0254469940093647
"340";340;0,0254148436085507
"341";341;0,0254822003593501
"342";342;0,0253546871550345
"343";343;0,0252431976353038
"344";344;0,0252227211255823
"345";345;0,0253134857846346
"346";346;0,0253839071053625
"347";347;0,0254252672453411
"348";348;0,025189918410196
"349";349;0,0251822004909677
"350";350;0,0252569472041438
"351";351;0,0250682763353559
"352";352;0,0250779962569528
"353";353;0,0250531166435608
"354";354;0,0249684337571853
"355";355;0,0248770012947398
"356";356;0,0249302671287511
"357";357;0,0248248125712263
"358";358;0,0248566432222625
"359";359;0,0249093888567591
"360";360;0,0248205275062753
"361";361;0,0247284581054802
"362";362;0,0247543842934018
"363";363;0,0246565204012036
"364";364;0,0245837373258036
"365";365;0,0245937575742355
"366";366;0,0246197444892703
"367";367;0,0245644319640281
"368";368;0,0245603693504804
"369";369;0,0247037171174111
"370";370;0,024674374637509
"371";371;0,0246600486032038
"372";372;0,024626792223854
"373";373;0,0246181089012317
"374";374;0,024498004850245
"375";375;0,024646262259763
"376";376;0,0247102982842725
"377";377;0,0246998270071605
"378";378;0,0247541832409904
"379";379;0,0248380143681952
"380";380;0,0248926180897441
"381";381;0,0248872148462643
"382";382;0,0248851434540335
"383";383;0,0248805775274297
"384";384;0,0248862135351472
"385";385;0,024943228732341
"386";386;0,024825706508749
"387";387;0,0248334487675044
"388";388;0,024811167026293
"389";389;0,0246932889478084
"390";390;0,0245882061113324
"391";391;0,0245754080003988
"392";392;0,0246242496576786
"393";393;0,0246662625485194
"394";394;0,0247178474876316
"395";395;0,0248441018285672
"396";396;0,0249747065387202
"397";397;0,0249272971844387
"398";398;0,024928727426617
"399";399;0,0249831581442456
"400";400;0,0246795451399782
"401";401;0,0246129248556227
"402";402;0,0246260937564488
"403";403;0,0245046481904414
"404";404;0,024595889112549
"405";405;0,0222400623937365
"406";406;0,0222393658804502
"407";407;0,0220932117174374
"408";408;0,0221727842024848
"409";409;0,0222357446711217
"410";410;0,021190988354601
"411";411;0,0207495047452931
"412";412;0,0207787912548852
"413";413;0,0208063473064459
"414";414;0,0207946824180397
"415";415;0,0207690614673505
"416";416;0,0208431287603598
"417";417;0,0207515958688548
"418";418;0,0207759470720654
"419";419;0,0208772442864316
"420";420;0,020973371542269
"421";421;0,0209569406572168
"422";422;0,0209137396025575
"423";423;0,0209295256323318
"424";424;0,0209897208032473
"425";425;0,0210656873197592
"426";426;0,021078125320573
"427";427;0,0210423189892945
"428";428;0,0209400311980181
"429";429;0,0209675725856178
"430";430;0,0210139522148003
"431";431;0,021040336515909
"432";432;0,0210387911339122
"433";433;0,0209251195239999
"434";434;0,0209090197858329
"435";435;0,0209631970731139
"436";436;0,0210970945246684
"437";437;0,0210934944226689
"438";438;0,0211225241900344
"439";439;0,0194155392155682
"440";440;0,0194255698928729
"441";441;0,0193588034165377
"442";442;0,0194401906272619
"443";443;0,0194836907021771
"444";444;0,0194840630264424
"445";445;0,0195717583743872
"446";446;0,0195684072201263
"447";447;0,0190197137613843
"448";448;0,0189315779940103
"449";449;0,0190319839077987
"450";450;0,0190352303637283
"451";451;0,0190356984310915
"452";452;0,0191135342053313
"453";453;0,0191508352477816
"454";454;0,0191773266465631
"455";455;0,0191845555512672
"456";456;0,0192185362155023
"457";457;0,0191184167514603
"458";458;0,0191899943995573
"459";459;0,019248076793148
"460";460;0,019248076793148
"461";461;0,0192825713394223
"462";462;0,0193663753621933
"463";463;0,019295885041342
"464";464;0,0192550211737798
"465";465;0,0187007339419764
"466";466;0,0186863890760287
"467";467;0,0187385037801325
"468";468;0,0184248015528963
"469";469;0,0184159493734536
"470";470;0,0184697748000357
"471";471;0,0184697748000357
"472";472;0,0184929328692762
"473";473;0,0185329238376065
"474";474;0,0184658826457048
"475";475;0,0184658099922094
"476";476;0,0184613211784041
"477";477;0,0184418967686289
"478";478;0,0184711983539521
"479";479;0,0185180379728264
"480";480;0,0186012710190878
"481";481;0,018489823286403
"482";482;0,0184776089398896
"483";483;0,0184791193143117
"484";484;0,018202445096768
"485";485;0,0183138608514367
"486";486;0,017747980993703
"487";487;0,0178017237624934
"488";488;0,0178693846179606
"489";489;0,0178861402089136
"490";490;0,0178600719937788
"491";491;0,0178293750308361
"492";492;0,0178184554640999
"493";493;0,0178260434734558
"494";494;0,0178485199616774
"495";495;0,0174573888576759
"496";496;0,0168880546564818
"497";497;0,0167483693439601
"498";498;0,0167526390353759
"499";499;0,0167495832489388
"500";500;0,0167543710105123
