;Comun_list.1.n.;Resident_w_list;Workers_list;Autflux_list;Autoff_list;Autdom_list
107;1107;1750;1543,06;847;0,484;0,54890931
108;1108;113;63;51;0,451327434;0,80952381
109;1109;852;392,22;193;0,226525822;0,492070777
110;1110;1434;1288,44;471;0,328451883;0,36555835
111;1111;265;154,58;49;0,18490566;0,316987967
112;1112;4970;2111,6;1424;0,286519115;0,674370146
113;1113;596;360,01;155;0,260067114;0,430543596
114;1114;355;87;65;0,183098592;0,747126437
115;1115;8058;6126,86;4054;0,503102507;0,661676617
116;1116;2131;791,66;476;0,22336931;0,601268221
117;1117;324;67,08;36;0,111111111;0,53667263
118;1118;65;38,1;30;0,461538462;0,787401575
119;1119;548;546,29;142;0,259124088;0,259935199
120;1120;19619,47;25225,47;6937;0,353577339;0,274999832
121;1121;12;7;2;0,166666667;0,285714286
122;1122;355;150,32;54;0,152112676;0,359233635
123;1123;211;51,65;25;0,118483412;0,484027106
124;1124;188;28;20;0,106382979;0,714285714
125;1125;11365,03;21218,21;7351,9;0,646887866;0,346490114
126;1126;986;435,83;216;0,219066937;0,495606085
127;1127;4884;3321,85;1528;0,312858313;0,459984647
128;1128;2573;3378,7;1195;0,464438399;0,353686329
129;1129;789;1239,21;221;0,280101394;0,178339426
130;1130;8553;10243,43;3545;0,414474453;0,346075484
131;1131;64;87,31;19;0,296875;0,217615393
132;1132;999;652,59;281;0,281281281;0,430591949
133;1133;207;122,82;55;0,265700483;0,447809803
134;1134;650;470;328;0,504615385;0,69787234
135;1135;897;764,31;219;0,244147157;0,286532951
136;1136;512;650,52;169;0,330078125;0,259792166
137;1137;582;371,34;149;0,256013746;0,401249529
138;1138;173;84;19;0,10982659;0,226190476
139;1139;3469;3760,01;1624;0,46814644;0,431913745
140;1140;270;75,63;48;0,177777778;0,634668782
141;1141;264;280,06;49;0,185606061;0,174962508
142;1142;627;417,59;184;0,293460925;0,440623578
143;1143;200;50,86;31;0,155;0,609516319
144;1144;765;270,3;138;0,180392157;0,51054384
145;1145;5;18,33;1;0,2;0,054555374
146;1146;1980;1938,57;775;0,391414141;0,399779219
147;1147;315;106;65;0,206349206;0,613207547
148;1148;2005;943,73;600;0,29925187;0,635775063
149;1149;375;112,91;74;0,197333333;0,655389248
150;1150;620;339,51;139;0,224193548;0,409413567
151;1151;31;18;2;0,064516129;0,111111111
152;1152;323;127,71;78;0,241486068;0,61075875
153;1153;217;23;9;0,041474654;0,391304348
154;1154;333;72,39;37;0,111111111;0,51112032
155;1155;170;34,55;23;0,135294118;0,665701881
156;1156;28510,56;29434,06;11811,66;0,414290705;0,401292244
157;1157;10;12;3;0,3;0,25
158;1158;407;119,02;50;0,122850123;0,420097463
159;1159;516;208,57;122;0,236434109;0,584935513
160;1160;1725;986,09;540;0,313043478;0,547617357
161;1161;2714;1419,93;1098;0,404568902;0,773277556
162;1162;394;138,81;78;0,197969543;0,56191917
163;1163;411;184,84;89;0,216545012;0,481497511
164;1164;24666,9;16194,8;9359,06;0,379417762;0,577905254
165;1165;57;35;23;0,403508772;0,657142857
166;1166;3675;1605,81;985;0,268027211;0,6133976
167;1167;136;27,05;18;0,132352941;0,665434381
168;1168;4260;3657,49;1563;0,366901408;0,427342248
169;1169;274;94;66;0,240875912;0,70212766
170;1170;770;573,84;202;0,262337662;0,352014499
171;1171;11961,55;15838,33;4913,42;0,410767835;0,310223363
172;1172;360;261,59;73;0,202777778;0,279062655
173;1173;599;683,57;133;0,222036728;0,19456676
174;1174;470;304,47;127;0,270212766;0,417118271
175;1175;1542;2121,32;935;0,606355383;0,440763298
176;1176;627;622,76;173;0,275917065;0,27779562
177;1177;448;118,18;51;0,113839286;0,431545101
178;1178;976;869,45;450;0,461065574;0,517568578
179;1179;226;149,55;32;0,14159292;0,213975259
180;1180;633;198,78;128;0,20221169;0,643927961
181;1181;1915;1175,69;555;0,289817232;0,472063214
182;1182;93;7;3;0,032258065;0,428571429
183;1183;2051;1216,66;571;0,27840078;0,46931764
184;1184;1464;1054,11;491;0,335382514;0,46579579
185;1185;284;64,86;37;0,13028169;0,570459451
186;1186;251;118,03;64;0,25498008;0,542235025
187;1187;425;215,98;112;0,263529412;0,518566534
188;1188;277;170,52;68;0,245487365;0,398780202
189;1189;7973;7963,57;2814;0,352941176;0,353359109
190;1190;1428;596,58;312;0,218487395;0,522980992
191;1191;16999,16;22811,92;10587,06;0,622799009;0,464102101
192;1192;4394;2305,83;1201;0,273327264;0,520853662
193;1193;1991;1837,52;715;0,359116022;0,389111411
194;1194;9989;5078,79;3418;0,342176394;0,672994946
195;1195;1808;960,6;600;0,331858407;0,624609619
196;1196;684;518,17;220;0,321637427;0,424571087
197;1197;5531;5343,95;2380;0,430301935;0,445363448
198;1198;460;286,52;119;0,258695652;0,415328773
199;1199;1717;1244,63;780;0,454280722;0,62669227
200;1200;567;174,6;78;0,137566138;0,446735395
201;1201;343;265,66;188;0,548104956;0,70767146
202;1202;97;127,42;61;0,628865979;0,478731753
203;1203;978;630,73;395;0,403885481;0,626258462
204;1204;88;13,81;3;0,034090909;0,217233888
205;1205;613;183,68;115;0,187601958;0,62608885
206;1206;365;180;88;0,24109589;0,488888889
207;1207;250;117;51;0,204;0,435897436
208;1208;155;20,98;6;0,038709677;0,285986654
209;1209;166;91,63;22;0,13253012;0,240096038
210;1210;511;390,05;174;0,340508806;0,446096654
211;1211;850;268,45;177;0,208235294;0,659340659
212;1212;14;9;4;0,285714286;0,444444444
213;1213;589;230,63;147;0,249575552;0,637384555
214;1214;10609;9259,06;3151;0,297011971;0,340315324
215;1215;2335;1981,55;807;0,345610278;0,407256945
216;1216;1385;1212,95;413;0,298194946;0,340492188
217;1217;6279;6717,2;2967;0,472527473;0,4417019
218;1218;865;278,95;186;0,215028902;0,666786162
219;1219;24013,59;26196,81;10532,9;0,438622463;0,402068038
220;1220;1562;2354,77;516;0,330345711;0,219129681
221;1221;866;1022,05;300;0,346420323;0,293527714
222;1222;1011;1064,47;249;0,246290801;0,233919227
223;1223;1576;786,13;346;0,219543147;0,440130767
224;1224;89;161,26;43;0,483146067;0,26665013
225;1225;901;829,46;336;0,372918979;0,405082825
226;1226;117;44,44;28;0,239316239;0,630063006
227;1227;368;207,19;136;0,369565217;0,656402336
228;1228;2526;2383,09;709;0,280680918;0,297512893
229;1229;1235;305,6;241;0,1951417;0,788612565
230;1230;275;84;58;0,210909091;0,69047619
231;1231;936;705,87;216;0,230769231;0,306005355
232;1232;290;312,62;130;0,448275862;0,415840317
233;1233;272;77,93;11;0,040441176;0,141152316
234;1234;16;32,67;7;0,4375;0,214263851
235;1235;855;365,2;177;0,207017544;0,484665936
236;1236;3010;2969,51;1016;0,337541528;0,34214399
237;1237;2064;1582,42;582;0,281976744;0,367791105
238;1238;215;99,02;34;0,158139535;0,343364977
239;1239;305;433,62;61;0,2;0,140676168
240;1240;2661;1200,33;788;0,296129275;0,656486133
241;1241;1900;989,65;444;0,233684211;0,44864346
242;1242;913;384,27;195;0,213581599;0,507455695
243;1243;1657;1092,09;378;0,228123114;0,346125319
244;1244;1323;1251,53;520;0,393046107;0,415491438
245;1245;478;176,6;97;0,20292887;0,549263873
246;1246;1638;1081,17;572;0,349206349;0,529056485
247;1247;414;124,74;75;0,18115942;0,601250601
248;1248;5561;4053,48;1763;0,317029311;0,43493492
249;1249;10257;9056,7;3245;0,316369309;0,358298276
250;1250;700;228,21;114;0,162857143;0,499539897
251;1251;145;165,2;13;0,089655172;0,078692494
252;1252;1605;951,49;518;0,322741433;0,544409295
253;1253;981;378,08;228;0,232415902;0,603046974
254;1254;1775;1587,65;576;0,324507042;0,362800365
255;1255;2474;1583,94;804;0,32497979;0,507594985
256;1256;2133;1630,76;736;0,345053915;0,451323309
257;1257;5772;4286,96;2305;0,399341649;0,537677049
258;1258;77;31;19;0,246753247;0,612903226
259;1259;516;397,64;291;0,563953488;0,731817725
260;1260;1666;1237,45;525;0,31512605;0,424259566
261;1261;428;1371,89;125;0,292056075;0,091115177
262;1262;769;284,26;198;0,257477243;0,696545416
263;1263;406;523,19;321;0,790640394;0,613543837
264;1264;217;154,45;43;0,198156682;0,278407252
265;1265;24402,67;22134,8;11507,07;0,47154963;0,519863292
266;1266;703;708,64;271;0,385490754;0,382422669
267;1267;487;393,86;178;0,36550308;0,451937237
268;1268;127;12,22;3;0,023622047;0,245499182
269;1269;3294;2442,95;1170;0,355191257;0,478929164
270;1270;3048;4216,33;1782;0,584645669;0,42264244
271;1271;405;156,78;78;0,192592593;0,497512438
272;1272;423855,74;534626,5;354911,08;0,837339327;0,663848649
273;1273;1500;607,12;391;0,260666667;0,644024246
274;1274;262;345,02;43;0,164122137;0,124630456
275;1275;1962;1595,87;724;0,369011213;0,453671038
276;1276;1982;1226,44;532;0,268415742;0,433775806
277;1277;44;7;5;0,113636364;0,714285714
278;1278;124;47;36;0,290322581;0,765957447
279;1279;238;67,43;51;0,214285714;0,756339908
280;1280;5869;4499,69;1841;0,313682058;0,409139296
281;1281;60;32;23;0,383333333;0,71875
282;1282;72;64;43;0,597222222;0,671875
283;1283;745;573,95;193;0,259060403;0,336266225
284;1284;1948;900,16;420;0,215605749;0,466583718
285;1285;463;77;64;0,138228942;0,831168831
286;1286;397;185,5;60;0,151133501;0,323450135
287;1287;1542;2166,11;598;0,387808042;0,276070929
288;1288;36;31,09;12;0,333333333;0,385976198
289;1289;385;164,53;70;0,181818182;0,425454324
290;1290;719;424,69;137;0,19054242;0,322588241
291;1291;445;191,5;106;0,238202247;0,553524804
292;1292;18021,05;15036,27;6654,99;0,369289803;0,442595803
293;1293;2472;1013,88;677;0,273867314;0,667731881
294;1294;653;257,06;128;0,196018377;0,497938225
295;1295;371;414,15;105;0,283018868;0,253531329
296;1296;109;83,35;12;0,110091743;0,143971206
297;1297;377;382,55;164;0,435013263;0,42870213
298;1298;228;120;56;0,245614035;0,466666667
299;1299;2712;1877,58;1233;0,454646018;0,656696386
300;1300;2411;1594,52;1120;0,464537536;0,70240574
301;1301;585;445,15;123;0,21025641;0,276311356
302;1302;1765;1429,23;527;0,298583569;0,368730015
303;1303;1569;651,38;312;0,198852772;0,478983082
304;1304;478;250,7;118;0,246861925;0,47068209
305;1305;985;331,83;233;0,236548223;0,702166772
306;1306;517;219;153;0,295938104;0,698630137
307;1307;2081;2697,27;971;0,466602595;0,359993623
308;1308;2591;2333,53;971;0,37475878;0,416107785
309;1309;7588;4464,02;2435;0,320901423;0,545472467
310;1310;597;431,68;192;0,32160804;0,444773907
311;1311;587;305,95;193;0,32879046;0,63082203
312;1312;254;152;47;0,18503937;0,309210526
313;1313;443;255,61;216;0,48758465;0,845037362
314;1314;8148;7850,78;3430;0,420962199;0,436899264
